feature,kruskal_stat,p_value,ref_median,is_different_p005,is_different_p001
n_nodes,3981.1966,0.0,0.628,True,True
n_edges,3905.9904,0.0,0.6268,True,True
n_circ_expressed,,,0.0,False,False
mean_expression,2.3539,0.5022760602373568,0.0092,False,False
max_expression,5.4267,0.1430898989868284,-0.0109,False,False
expression_std,0.6391,0.8874259521895789,-0.0644,False,False
mean_degree,3826.3593,0.0,0.5828,True,True
max_degree,19.7748,0.00018899454282255717,0.1082,True,True
top5_hub_degree,29.4007,1.8446547946534321e-06,0.1532,True,True
top1_circ_degree,,,0.0,False,False
max_circ_pagerank,,,0.0,False,False
top5_hub_betweenness,2305.1897,0.0,-0.4827,True,True
avg_clustering,,,0.0,False,False
diameter,4037.5758,0.0,0.4618,True,True
graph_entropy,3895.4881,0.0,0.6018,True,True
spectral_entropy,4205.9033,0.0,0.6262,True,True
community_count,13.208,0.004207811818221291,-0.0244,True,False
modularity,3022.8617,0.0,-0.5212,True,True
betti_0,4980.2836,0.0,0.6075,True,True
betti_1,4039.6166,0.0,0.6259,True,True
persistence_entropy,,,0.0,False,False
